virtualTreeList,siteNodeId,labelCollections,pid,bodyRelationId
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f012980c963216b5981a,,637dde4778d2a708fc7ba545@64b5f007980c963216b59815,64b5edf8980c963216b5976b
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f01d980c963216b5981f,,637dde4778d2a708fc7ba545@64b5f012980c963216b5981a,64b5edf8980c963216b5976c
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f05b980c963216b59824,,637dde4778d2a708fc7ba545@64b5f0dd980c963216b59857,64b5edf8980c963216b5976e
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f0dd980c963216b59857,,637dde4778d2a708fc7ba545@64b5f01d980c963216b5981f,64b5edf8980c963216b5976d
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f0f8980c963216b59864,,637dde4778d2a708fc7ba545@64b5f007980c963216b59815,64b5edf8980c963216b5976b
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f103980c963216b59870,,637dde4778d2a708fc7ba545@64b5f0f8980c963216b59864,64b5edf8980c963216b5976c
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f10e980c963216b59879,,637dde4778d2a708fc7ba545@64b5f103980c963216b59870,64b5edf8980c963216b5976d
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f11d980c963216b59880,,637dde4778d2a708fc7ba545@64b5f10e980c963216b59879,64b5edf8980c963216b5976e
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f141980c963216b5988e,,637dde4778d2a708fc7ba545@64b5f007980c963216b59815,64b5edf8980c963216b5976b
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f14d980c963216b59895,,637dde4778d2a708fc7ba545@64b5f141980c963216b5988e,64b5edf8980c963216b5976c
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f158980c963216b598a4,,637dde4778d2a708fc7ba545@64b5f14d980c963216b59895,64b5edf8980c963216b5976d
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f174980c963216b598af,,637dde4778d2a708fc7ba545@64b5f158980c963216b598a4,64b5edf8980c963216b5976e
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f174980c963216b598b0,,637dde4778d2a708fc7ba545@64b5f158980c963216b598a4,64b5edf8980c963216b5976e
