date,childInsNum,treeId,tableStructureId,nodePIds,remark,tempPid,id,nodePId,isWBSRootNode,lastSiteNodeId,state,relationId,p6Object,labelCollections,connectNode,siteNodeId,attribute,updateTime,isConnectedLabel,parentInsNum,children,status,treeName,virtualTreeType,nodeName,formData,associatedNumber,instanceType,bodySiteNodeId,siteNodeIds,quote,order,isCreatedSite,type,isRoot,nodeId,snType,isConnected,snRelation,instanceChildren,childIns,siteId,isConnectedNode,updateBy
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c478~S,,False,,ON,65211b444b6c675d84f4c478,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c478~S,INSTANCE,2023-10-07 16:48:04,True,,,,,,本体相同表结构GDDB202310079666,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c479~S,,False,,ON,65211b444b6c675d84f4c479,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c479~S,INSTANCE,2023-10-07 16:48:04,True,,,,,,本体相同表结构GDDB202310076757,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c47a~S,,False,,ON,65211b444b6c675d84f4c47a,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c47a~S,INSTANCE,2023-10-07 16:48:04,True,,,,,,本体相同表结构GDDB202310075552,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c47b~S,,False,,ON,65211b444b6c675d84f4c47b,,,,65080b84d95e4d0e60139a01@65211b444b6c675d84f4c47b~S,INSTANCE,2023-10-07 16:48:04,True,,,,,,本体相同表结构GDDB202310072857,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b454b6c675d84f4c47c~S,,False,,ON,65211b454b6c675d84f4c47c,,,,65080b84d95e4d0e60139a01@65211b454b6c675d84f4c47c~S,INSTANCE,2023-10-07 16:48:05,True,,,,,,复本项信息数据表结构GDDB202310079149,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c47d~S,,False,,ON,65211b464b6c675d84f4c47d,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c47d~S,INSTANCE,2023-10-07 16:48:06,True,,,,,,复本项信息数据表结构GDDB202310078160,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c47e~S,,False,,ON,65211b464b6c675d84f4c47e,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c47e~S,INSTANCE,2023-10-07 16:48:06,True,,,,,,复本项信息数据表结构GDDB202310072989,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c47f~S,,False,,ON,65211b464b6c675d84f4c47f,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c47f~S,INSTANCE,2023-10-07 16:48:06,True,,,,,,复本项信息数据表结构GDDB202310073039,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c480~S,,False,,ON,65211b464b6c675d84f4c480,,,,65080b84d95e4d0e60139a01@65211b464b6c675d84f4c480~S,INSTANCE,2023-10-07 16:48:06,True,,,,,,复本项信息数据表结构GDDB202310077187,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b4f4b6c675d84f4c482~S,,False,,ON,65211b4f4b6c675d84f4c482,,,,65080b84d95e4d0e60139a01@65211b4f4b6c675d84f4c482~S,INSTANCE,2023-10-07 16:48:15,True,,,,,,本体相同表结构GDDB202310075126,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
