id,node_name,label,sn_type,type,last_site_nodeId,label_collections,virtualTreeList,structureList
6461ea4e6d43177229aa4206,顶分类,INSTANCE,0,自建,,,,
6461ea736d43177229aa420a,项目,INSTANCE,0,自建,,,,
6461ea736d43177229aa420b,知识库,INSTANCE,0,自建,,,,
6461ea736d43177229aa420c,OA,INSTANCE,0,自建,,,,
64c376111cce3d54abc0ee8d,2023-7-28系统配置站点,INSTANCE,0,自建,,[],,
64c37e691cce3d54abc0f2fd,deepc项目管理站点,INSTANCE,0,自建,,[],,
64c716d371b89d19c2491692,华东院标准站点a,INSTANCE,0,自建,,[],,
64c716d371b89d19c2491693,水利水电工程标准站点a,INSTANCE,0,自建,,[],,
64c716d371b89d19c2491694,抽蓄工程标准站点a,INSTANCE,0,自建,,[],,
64c716d371b89d19c2491695,景宁抽水蓄能电站a,INSTANCE,0,自建,,[],,
64c7238471b89d19c2491d0d,fu_ml_test,INSTANCE,0,自建,,[],,
64c9ca721b6654745841f12e,图档元数据管理站点0802,INSTANCE,0,自建,,[],,
64ca10a3d511180af5ed38a5,测试站点,INSTANCE,0,自建,,[],,
64cb9007c217bf1c68ca3695,DeepC标准站点,INSTANCE,0,自建,,[],,
